name,level,city,county,state,country,cases,deaths,recovered,tested,active,population,populationDensity,lat,long,url,rating,tz,featureId,countryId,stateId,hospitalized,aggregate,discharged,countyId,publishedDate
"Queensland, Australia",state,,,Queensland,Australia,1019,6,738,,275,4703193,2.7069154023518616,-19.1605,145.774,https://www.health.qld.gov.au/news-events/doh-media-releases,0.35294117647058826,Australia/Brisbane,iso2:AU-QLD,iso1:AU,iso2:AU-QLD,,,,,
"South Australia, Australia",state,,,South Australia,Australia,435,4,369,,62,1742744,1.7645818483729319,-32.027499999999996,135.0025,https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+topics/health+topics+a+-+z/covid+2019/latest+updates/confirmed+and+suspected+cases+of+covid-19+in+south+australia,0.35294117647058826,Australia/Adelaide,iso2:AU-SA,iso1:AU,iso2:AU-SA,2,,,,
"Western Australia, Australia",state,,,Western Australia,Australia,545,7,435,28924,103,2474410,0.9756968123592397,-24.4405,120.9625,https://ww2.health.wa.gov.au/Articles/A_E/Coronavirus/COVID19-statistics,0.43137254901960786,Australia/Perth,iso2:AU-WA,iso1:AU,iso2:AU-WA,,,,,
"Tasmania, Australia",state,,,Tasmania,Australia,197,,,,,509965,7.461337290347817,-47.156,151.40699999999998,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers,0.3137254901960784,Etc/GMT-10,iso2:AU-TAS,iso1:AU,iso2:AU-TAS,,state,,,
"Victoria, Australia",state,,,Victoria,Australia,1329,,,,,5926624,25.989516129670182,-36.5895,145.46949999999998,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers,0.3137254901960784,Australia/Melbourne,iso2:AU-VIC,iso1:AU,iso2:AU-VIC,,state,,,
Australia,country,,,,Australia,6625,,,,,24511800,3.175646137713549,-32.128,120.28800000000001,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers,0.27450980392156865,Australia/Perth,iso1:AU,iso1:AU,,,state,,,
"Brussels-Capital, Brussels-Capital, Belgium",county,,Brussels-Capital,Brussels-Capital,Belgium,4109,914,,,,1198726,7911.541659829173,50.8295,4.3629999999999995,https://epistat.wiv-isp.be/,0.5098039215686274,Europe/Brussels,iso2:BE-BRU,iso1:BE,iso2:BE-BRU,1949,,1454,iso2:BE-BRU,
"Brussels-Capital, Belgium",state,,,Brussels-Capital,Belgium,4109,914,,,,1198726,7911.541659829173,50.8295,4.3629999999999995,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-BRU,iso1:BE,iso2:BE-BRU,1949,,1454,,
"Liège, Wallonia, Belgium",county,,Liège,Wallonia,Belgium,4888,,,,,1105326,286.65622472196145,50.471000000000004,5.692,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-WLG,iso1:BE,iso2:BE-WAL,1356,,922,iso2:BE-WLG,
"Walloon Brabant, Wallonia, Belgium",county,,Walloon Brabant,Wallonia,Belgium,960,,,,,401106,371.05484752956056,50.667500000000004,4.5595,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-WBR,iso1:BE,iso2:BE-WAL,202,,123,iso2:BE-WBR,
"Hainaut, Wallonia, Belgium",county,,Hainaut,Wallonia,Belgium,4063,,,,,1341645,355.138188710921,50.3765,3.7275,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-WHT,iso1:BE,iso2:BE-WAL,1636,,987,iso2:BE-WHT,
"Namur, Wallonia, Belgium",county,,Namur,Wallonia,Belgium,1361,,,,,493073,133.52936389688716,50.214,4.840999999999999,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-WNA,iso1:BE,iso2:BE-WAL,427,,172,iso2:BE-WNA,
"Luxembourg, Wallonia, Belgium",county,,Luxembourg,Wallonia,Belgium,1101,,,,,283227,63.734621092336,49.961,5.497,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-WLX,iso1:BE,iso2:BE-WAL,319,,192,iso2:BE-WLX,
"Wallonia, Belgium",state,,,Wallonia,Belgium,12373,2056,,,,3624377,215.08129938241177,50.1545,4.6235,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-WAL,iso1:BE,iso2:BE-WAL,3940,,2396,,
"Limburg, Flanders, Belgium",county,,Limburg,Flanders,Belgium,4716,,,,,870880,360.44959521564186,50.9975,5.4465,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-VLI,iso1:BE,iso2:BE-VLG,1558,,951,iso2:BE-VLI,
"East Flanders, Flanders, Belgium",county,,East Flanders,Flanders,Belgium,4810,,,,,1505053,504.43238888001724,51.038,3.8305,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-VOV,iso1:BE,iso2:BE-VLG,1587,,1103,iso2:BE-VOV,
"Flemish Brabant, Flanders, Belgium",county,,Flemish Brabant,Flanders,Belgium,3997,,,,,1138489,531.9713962439006,50.8695,4.5375,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-VBR,iso1:BE,iso2:BE-VLG,782,,513,iso2:BE-VBR,
"Antwerp, Flanders, Belgium",county,,Antwerp,Flanders,Belgium,4904,,,,,1847486,642.1052412056564,51.2475,4.717499999999999,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-VAN,iso1:BE,iso2:BE-VLG,1981,,1520,iso2:BE-VAN,
"West Flanders, Flanders, Belgium",county,,West Flanders,Flanders,Belgium,4509,,,,,1195796,376.3472029738276,51.0385,3.034,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-VWV,iso1:BE,iso2:BE-VLG,1564,,957,iso2:BE-VWV,
"Flanders, Belgium",state,,,Flanders,Belgium,22936,2858,,,,6381859,469.44456266490425,51.097,4.228,https://epistat.wiv-isp.be/,0.43137254901960786,Europe/Brussels,iso2:BE-VLG,iso1:BE,iso2:BE-VLG,7472,,5044,,
Belgium,country,,,,Belgium,39983,5828,,161896,,11431406,373.599837562333,50.501000000000005,4.475,https://epistat.wiv-isp.be/,0.47058823529411764,Europe/Brussels,iso1:BE,iso1:BE,,13361,,8894,,
"Acre, Brazil",state,,,Acre,Brazil,176,8,,,,881935,,-9.13,-70.3015,https://covid.saude.gov.br/,0.5098039215686274,America/Rio_Branco,iso2:BR-AC,iso1:BR,iso2:BR-AC,,state,,,
"Alagoas, Brazil",state,,,Alagoas,Brazil,171,18,,,,3337357,,-9.662500000000001,-36.695499999999996,https://covid.saude.gov.br/,0.5098039215686274,America/Maceio,iso2:BR-AL,iso1:BR,iso2:BR-AL,,state,,,
"Amapá, Brazil",state,,,Amapá,Brazil,433,13,,,,845731,,1.6055000000000001,-52.378,https://covid.saude.gov.br/,0.5098039215686274,America/Belem,iso2:BR-AP,iso1:BR,iso2:BR-AP,,state,,,
"Amazonas, Brazil",state,,,Amazonas,Brazil,2160,185,,,,4144597,,-3.793,-64.94800000000001,https://covid.saude.gov.br/,0.5098039215686274,America/Manaus,iso2:BR-AM,iso1:BR,iso2:BR-AM,,state,,,
"Bahia, Brazil",state,,,Bahia,Brazil,1341,46,,,,14873064,,-13.443,-41.9845,https://covid.saude.gov.br/,0.5098039215686274,America/Bahia,iso2:BR-BA,iso1:BR,iso2:BR-BA,,state,,,
"Ceará, Brazil",state,,,Ceará,Brazil,3482,198,,,,9132078,,-5.3215,-39.337,https://covid.saude.gov.br/,0.5098039215686274,America/Fortaleza,iso2:BR-CE,iso1:BR,iso2:BR-CE,,state,,,
"Federal District, Brazil",state,,,Federal District,Brazil,872,24,,,,3015268,,-15.775,-47.796499999999995,https://covid.saude.gov.br/,0.5098039215686274,America/Sao_Paulo,iso2:BR-DF,iso1:BR,iso2:BR-DF,,state,,,
"Espírito Santo, Brazil",state,,,Espírito Santo,Brazil,1168,33,,,,4018650,,-19.602,-35.3615,https://covid.saude.gov.br/,0.5098039215686274,Etc/GMT+2,iso2:BR-ES,iso1:BR,iso2:BR-ES,,state,,,
"Goiás, Brazil",state,,,Goiás,Brazil,403,19,,,,7018354,,-15.95,-49.5785,https://covid.saude.gov.br/,0.5098039215686274,America/Sao_Paulo,iso2:BR-GO,iso1:BR,iso2:BR-GO,,state,,,
"Maranhão, Brazil",state,,,Maranhão,Brazil,1320,54,,,,7075181,,-5.6545000000000005,-45.274,https://covid.saude.gov.br/,0.5098039215686274,America/Fortaleza,iso2:BR-MA,iso1:BR,iso2:BR-MA,,state,,,
"Mato Grosso, Brazil",state,,,Mato Grosso,Brazil,181,6,,,,3484466,,-12.695,-55.918,https://covid.saude.gov.br/,0.5098039215686274,America/Cuiaba,iso2:BR-MT,iso1:BR,iso2:BR-MT,,state,,,
"Mato Grosso do Sul, Brazil",state,,,Mato Grosso do Sul,Brazil,171,5,,,,2778986,,-20.622,-54.5465,https://covid.saude.gov.br/,0.5098039215686274,America/Campo_Grande,iso2:BR-MS,iso1:BR,iso2:BR-MS,,state,,,
"Minas Gerais, Brazil",state,,,Minas Gerais,Brazil,1189,41,,,,21168791,,-18.581,-45.451,https://covid.saude.gov.br/,0.5098039215686274,America/Sao_Paulo,iso2:BR-MG,iso1:BR,iso2:BR-MG,,state,,,
"Paraná, Brazil",state,,,Paraná,Brazil,1007,51,,,,11433957,,-24.615,-51.322,https://covid.saude.gov.br/,0.5098039215686274,America/Sao_Paulo,iso2:BR-PR,iso1:BR,iso2:BR-PR,,state,,,
"Paraíba, Brazil",state,,,Paraíba,Brazil,245,32,,,,4018127,,-7.1655,-36.78,https://covid.saude.gov.br/,0.5098039215686274,America/Fortaleza,iso2:BR-PB,iso1:BR,iso2:BR-PB,,state,,,
"Pará, Brazil",state,,,Pará,Brazil,902,35,,,,11433957,,-3.624,-52.4825,https://covid.saude.gov.br/,0.5098039215686274,America/Santarem,iso2:BR-PA,iso1:BR,iso2:BR-PA,,state,,,
"Pernambuco, Brazil",state,,,Pernambuco,Brazil,2690,234,,,,9557071,,-4.282500000000001,-35.3515,https://covid.saude.gov.br/,0.5098039215686274,Etc/GMT+2,iso2:BR-PE,iso1:BR,iso2:BR-PE,,state,,,
"Piauí, Brazil",state,,,Piauí,Brazil,158,12,,,,3273227,,-6.836500000000001,-43.182500000000005,https://covid.saude.gov.br/,0.5098039215686274,America/Fortaleza,iso2:BR-PI,iso1:BR,iso2:BR-PI,,state,,,
"Rio Grande do Norte, Brazil",state,,,Rio Grande do Norte,Brazil,595,27,,,,3506853,,-5.4155,-36.199,https://covid.saude.gov.br/,0.5098039215686274,America/Fortaleza,iso2:BR-RN,iso1:BR,iso2:BR-RN,,state,,,
"Rio Grande do Sul, Brazil",state,,,Rio Grande do Sul,Brazil,889,27,,,,11377239,,-30.4135,-53.670500000000004,https://covid.saude.gov.br/,0.5098039215686274,America/Sao_Paulo,iso2:BR-RS,iso1:BR,iso2:BR-RS,,state,,,
"Rio de Janeiro, Brazil",state,,,Rio de Janeiro,Brazil,4899,422,,,,17264943,,-22.0655,-42.923,https://covid.saude.gov.br/,0.5098039215686274,America/Sao_Paulo,iso2:BR-RJ,iso1:BR,iso2:BR-RJ,,state,,,
"Rondônia, Brazil",state,,,Rondônia,Brazil,160,4,,,,1777225,,-10.83,-63.29,https://covid.saude.gov.br/,0.5098039215686274,America/Porto_Velho,iso2:BR-RO,iso1:BR,iso2:BR-RO,,state,,,
"Roraima, Brazil",state,,,Roraima,Brazil,244,3,,,,60576,,1.8375,-61.852500000000006,https://covid.saude.gov.br/,0.5098039215686274,America/Boa_Vista,iso2:BR-RR,iso1:BR,iso2:BR-RR,,state,,,
"Santa Catarina, Brazil",state,,,Santa Catarina,Brazil,1025,35,,,,7164788,,-27.6405,-51.085,https://covid.saude.gov.br/,0.5098039215686274,America/Sao_Paulo,iso2:BR-SC,iso1:BR,iso2:BR-SC,,state,,,
"Sergipe, Brazil",state,,,Sergipe,Brazil,86,5,,,,2298696,,-10.5415,-37.318,https://covid.saude.gov.br/,0.5098039215686274,America/Maceio,iso2:BR-SE,iso1:BR,iso2:BR-SE,,state,,,
"São Paulo, Brazil",state,,,São Paulo,Brazil,14580,1037,,,,45919049,,-22.57,-48.634,https://covid.saude.gov.br/,0.5098039215686274,America/Sao_Paulo,iso2:BR-SP,iso1:BR,iso2:BR-SP,,state,,,
"Tocantins, Brazil",state,,,Tocantins,Brazil,34,1,,,,1572866,,-9.319,-48.2195,https://covid.saude.gov.br/,0.5098039215686274,America/Araguaina,iso2:BR-TO,iso1:BR,iso2:BR-TO,,state,,,
Brazil,country,,,,Brazil,40581,2575,,,,208494900,24.366254980308863,-14.2375,-51.4155,https://covid.saude.gov.br/,0.47058823529411764,America/Cuiaba,iso1:BR,iso1:BR,,,state,,,
"British Columbia, Canada",state,,,British Columbia,Canada,1699,86,,,,4841078,5.1211447351312485,54.150000000000006,-126.56,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Vancouver,iso2:CA-BC,iso1:CA,iso2:CA-BC,,state,,,
"Alberta, Canada",state,,,Alberta,Canada,2908,59,,,,4306039,6.508808220798176,54.4985,-115.003,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Edmonton,iso2:CA-AB,iso1:CA,iso2:CA-AB,,state,,,
"Saskatchewan, Canada",state,,,Saskatchewan,Canada,316,4,,,,1168057,1.7942466354660291,54.4995,-105.684,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Regina,iso2:CA-SK,iso1:CA,iso2:CA-SK,,state,,,
"Manitoba, Canada",state,,,Manitoba,Canada,246,6,,,,1343371,2.069321212153181,54.499,-95.4995,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Winnipeg,iso2:CA-MB,iso1:CA,iso2:CA-MB,,state,,,
"Ontario, Canada",state,,,Ontario,Canada,11184,584,,,,14279196,14.46094145134689,49.2705,-84.737,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Toronto,iso2:CA-ON,iso1:CA,iso2:CA-ON,,state,,,
"Quebec, Canada",state,,,Quebec,Canada,19319,939,,,,8484965,5.636831217370655,53.7855,-68.423,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Toronto,iso2:CA-QC,iso1:CA,iso2:CA-QC,,state,,,
"Newfoundland and Labrador, Canada",state,,,Newfoundland and Labrador,Canada,257,3,,,,528430,1.3072251356161515,53.4945,-60.219,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Goose_Bay,iso2:CA-NL,iso1:CA,iso2:CA-NL,,state,,,
"New Brunswick, Canada",state,,,New Brunswick,Canada,118,0,,,,760868,10.430296262399166,46.3245,-66.411,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Moncton,iso2:CA-NB,iso1:CA,iso2:CA-NB,,state,,,
"Nova Scotia, Canada",state,,,Nova Scotia,Canada,721,9,,,,957600,17.313791252891534,45.307,-63.025999999999996,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Halifax,iso2:CA-NS,iso1:CA,iso2:CA-NS,,state,,,
"Prince Edward Island, Canada",state,,,Prince Edward Island,Canada,26,0,,,,152784,26.535828339757867,46.507999999999996,-63.191500000000005,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Halifax,iso2:CA-PE,iso1:CA,iso2:CA-PE,,state,,,
"Yukon, Canada",state,,,Yukon,Canada,11,0,,,,38669,0.08028912396734325,64.8205,-132.4065,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Yellowknife,iso2:CA-YT,iso1:CA,iso2:CA-YT,,state,,,
"Northwest Territories, Canada",state,,,Northwest Territories,Canada,5,0,,,,44718,0.033309922182710824,69.4,-119.224,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Cambridge_Bay,iso2:CA-NT,iso1:CA,iso2:CA-NT,,state,,,
"Nunavut, Canada",state,,,Nunavut,Canada,0,0,,,,38243,0.018390732537514762,67.15299999999999,-90.887,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.4117647058823529,America/Cambridge_Bay,iso2:CA-NU,iso1:CA,iso2:CA-NU,,state,,,
Canada,country,,,,Canada,36823,1690,,,,36708083,3.7299350784045093,62.414,-96.81200000000001,https://health-infobase.canada.ca/src/data/covidLive/covid19.csv,0.37254901960784315,America/Rankin_Inlet,iso1:CA,iso1:CA,,,state,,,
"Aargau, Switzerland",state,,,Aargau,Switzerland,1012,28,,,,678207,485.9534778108368,47.381,8.084,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-AG,iso1:CH,iso2:CH-AG,45,,640,,
"Appenzell Innerrhoden, Switzerland",state,,,Appenzell Innerrhoden,Switzerland,24,,,,,16145,96.42654768314024,47.338499999999996,9.464500000000001,https://github.com/daenuprobst/covid19-cases-switzerland/,0.35294117647058826,Europe/Zurich,iso2:CH-AI,iso1:CH,iso2:CH-AI,1,,,,
"Appenzell Ausserrhoden, Switzerland",state,,,Appenzell Ausserrhoden,Switzerland,86,3,,,,55234,227.8125547827627,47.356,9.4085,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-AR,iso1:CH,iso2:CH-AR,6,,,,
"Bern, Switzerland",state,,,Bern,Switzerland,1613,73,,,,1034977,173.62093930878967,46.837,7.657,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-BE,iso1:CH,iso2:CH-BE,71,,,,
"Basel-Landschaft, Switzerland",state,,,Basel-Landschaft,Switzerland,806,25,,,,288132,554.7885383114274,47.451499999999996,7.6445,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-BL,iso1:CH,iso2:CH-BL,40,,664,,
"Basel-City, Switzerland",state,,,Basel-City,Switzerland,933,42,,,,194766,5061.964771480392,47.558,7.619,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-BS,iso1:CH,iso2:CH-BS,68,,770,,
"Fribourg, Switzerland",state,,,Fribourg,Switzerland,989,72,,,,318714,189.69246488759015,46.722,7.0595,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-FR,iso1:CH,iso2:CH-FR,62,,113,,
"Geneva, Switzerland",state,,,Geneva,Switzerland,4671,195,,,,499480,1988.083315812577,46.2425,6.133,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-GE,iso1:CH,iso2:CH-GE,321,,561,,
"Glarus, Switzerland",state,,,Glarus,Switzerland,114,5,,,,40403,59.17965154296929,46.985,9.061,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-GL,iso1:CH,iso2:CH-GL,5,,,,
"Grisons, Switzerland",state,,,Grisons,Switzerland,769,40,,,,198379,27.877014456910036,46.6175,9.5715,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-GR,iso1:CH,iso2:CH-GR,28,,,,
"Jura, Switzerland",state,,,Jura,Switzerland,192,2,,,,73419,86.34318500286935,47.327,7.2055,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-JU,iso1:CH,iso2:CH-JU,16,,,,
"Luzern, Switzerland",state,,,Luzern,Switzerland,633,15,,,,409557,271.42013379975964,47.0305,8.176,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-LU,iso1:CH,iso2:CH-LU,33,,,,
"Neuchâtel, Switzerland",state,,,Neuchâtel,Switzerland,638,50,,,,176850,218.44168675101758,47.0065,6.76,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-NE,iso1:CH,iso2:CH-NE,44,,,,
"Nidwalden, Switzerland",state,,,Nidwalden,Switzerland,108,3,,,,43223,152.10925201880778,46.896,8.399999999999999,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-NW,iso1:CH,iso2:CH-NW,4,,,,
"Obwalden, Switzerland",state,,,Obwalden,Switzerland,67,,,,,37841,78.78013134741742,46.863,8.2665,https://github.com/daenuprobst/covid19-cases-switzerland/,0.35294117647058826,Europe/Zurich,iso2:CH-OW,iso1:CH,iso2:CH-OW,1,,1,,
"Sankt Gallen, Switzerland",state,,,Sankt Gallen,Switzerland,711,27,,,,507697,254.78014930396012,47.2025,9.2385,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-SG,iso1:CH,iso2:CH-SG,42,,159,,
"Schaffhausen, Switzerland",state,,,Schaffhausen,Switzerland,63,1,,,,81991,277.89968404863316,47.677,8.641,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-SH,iso1:CH,iso2:CH-SH,6,,,,
"Solothurn, Switzerland",state,,,Solothurn,Switzerland,355,11,,,,273194,359.79746834740246,47.2975,7.6834999999999996,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-SO,iso1:CH,iso2:CH-SO,19,,,,
"Schwyz, Switzerland",state,,,Schwyz,Switzerland,272,15,,,,159165,176.54784189781952,47.052499999999995,8.697,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-SZ,iso1:CH,iso2:CH-SZ,1,,180,,
"Thurgau, Switzerland",state,,,Thurgau,Switzerland,335,13,,,,276472,319.92322176676555,47.534499999999994,9.073,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-TG,iso1:CH,iso2:CH-TG,24,,,,
"Ticino, Switzerland",state,,,Ticino,Switzerland,3058,288,,,,353343,126.2182747388837,46.2265,8.772,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-TI,iso1:CH,iso2:CH-TI,237,,616,,
"Uri, Switzerland",state,,,Uri,Switzerland,78,5,,,,36433,33.70474175427766,46.759,8.678,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-UR,iso1:CH,iso2:CH-UR,2,,69,,
"Vaud, Switzerland",state,,,Vaud,Switzerland,4966,298,,,,799145,273.9454839774156,46.587,6.6545000000000005,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-VD,iso1:CH,iso2:CH-VD,249,,225,,
"Valais/Wallis, Switzerland",state,,,Valais/Wallis,Switzerland,1771,108,,,,343955,65.93049161702207,46.256,7.624499999999999,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-VS,iso1:CH,iso2:CH-VS,79,,206,,
"Zug, Switzerland",state,,,Zug,Switzerland,175,7,,,,126837,525.2184574012,47.164500000000004,8.5435,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-ZG,iso1:CH,iso2:CH-ZG,11,,99,,
"Zurich, Switzerland",state,,,Zurich,Switzerland,3254,103,,,,1520968,874.5594612083258,47.427499999999995,8.6715,https://github.com/daenuprobst/covid19-cases-switzerland/,0.43137254901960786,Europe/Zurich,iso2:CH-ZH,iso1:CH,iso2:CH-ZH,121,,,,
